timestamp,threat_type,severity,source_ip,affected_system,hostname,user_account,detection_method,status,response_time_minutes,confidence_score,event_count,date,hour,day_of_week,is_internal,is_resolved
2024-01-01 00:11:00,Port Scan,Low,135.254.78.157,File Server,SRV-MAIL-25,user050,EDR,Detected,62,81,29,2024-01-01,0,Monday,False,False
2024-01-01 00:26:00,Phishing Attempt,Medium,42.175.116.81,Workstation,WKS-FIN-17,user003,Firewall,False Positive,53,30,34,2024-01-01,0,Monday,False,False
2024-01-01 00:37:00,Phishing Attempt,Low,81.211.180.133,Workstation,WKS-FIN-03,user015,Antivirus,Blocked,70,70,50,2024-01-01,0,Monday,False,True
2024-01-01 00:44:00,Port Scan,Low,4.35.46.141,Workstation,WKS-FIN-03,user036,EDR,Detected,103,74,7,2024-01-01,0,Monday,False,False
2024-01-01 00:44:00,Suspicious Login,Medium,219.35.93.35,DNS Server,SRV-FILE-10,user009,Firewall,False Positive,38,58,38,2024-01-01,0,Monday,False,False
2024-01-01 01:11:00,Phishing Attempt,Low,150.129.133.219,Email Server,WKS-OPS-19,user020,IDS/IPS,Detected,103,82,37,2024-01-01,1,Monday,False,False
2024-01-01 01:15:00,Unauthorized Access,High,10.0.16.60,DNS Server,WKS-OPS-01,user012,SIEM,Blocked,27,92,157,2024-01-01,1,Monday,True,True
2024-01-01 01:23:00,Phishing Attempt,Low,202.112.117.205,Workstation,WKS-FIN-17,root,EDR,Blocked,78,72,50,2024-01-01,1,Monday,False,True
2024-01-01 01:35:00,Phishing Attempt,Low,205.216.244.241,Email Server,WKS-OPS-20,user028,SIEM,False Positive,45,57,50,2024-01-01,1,Monday,False,False
2024-01-01 01:42:00,Port Scan,Medium,10.0.9.220,Firewall,SRV-DB-04,user020,EDR,Blocked,17,80,35,2024-01-01,1,Monday,True,True
2024-01-01 01:50:00,Port Scan,Medium,159.161.252.230,Workstation,WKS-FIN-15,user015,Antivirus,Blocked,18,91,47,2024-01-01,1,Monday,False,True
2024-01-01 01:57:00,Suspicious Login,Low,197.220.149.153,Workstation,SRV-DB-06,user015,SIEM,Blocked,67,95,26,2024-01-01,1,Monday,False,True
2024-01-01 02:21:00,Port Scan,Medium,10.0.9.55,DNS Server,SRV-DB-06,user031,EDR,False Positive,18,47,26,2024-01-01,2,Monday,True,False
2024-01-01 02:23:00,Suspicious Login,Low,10.0.7.133,Firewall,WKS-FIN-03,user028,Log Analysis,False Positive,119,34,49,2024-01-01,2,Monday,True,False
2024-01-01 02:42:00,Port Scan,Medium,216.74.28.69,Workstation,SRV-MAIL-13,user032,SIEM,Blocked,56,88,13,2024-01-01,2,Monday,False,True
2024-01-01 02:48:00,Port Scan,Medium,79.176.203.189,Database Server,SRV-DC-18,user050,SIEM,Blocked,35,91,37,2024-01-01,2,Monday,False,True
2024-01-01 02:48:00,Phishing Attempt,Low,10.0.9.97,Email Server,WKS-OPS-07,user024,Firewall,Detected,54,80,23,2024-01-01,2,Monday,True,False
2024-01-01 02:55:00,Data Exfiltration,Critical,57.36.6.239,AD Server,SRV-DC-11,user023,EDR,Blocked,14,95,123,2024-01-01,2,Monday,False,True
2024-01-01 02:59:00,Port Scan,Low,10.0.4.124,VPN Gateway,SRV-MAIL-03,administrator,Antivirus,Blocked,55,91,24,2024-01-01,2,Monday,True,True
2024-01-01 03:05:00,Port Scan,Medium,10.0.7.133,Database Server,WKS-OPS-18,user004,Antivirus,Blocked,54,99,10,2024-01-01,3,Monday,True,True
2024-01-01 03:17:00,Suspicious Login,Low,10.0.18.51,DNS Server,WKS-FIN-15,root,IDS/IPS,Blocked,69,84,31,2024-01-01,3,Monday,True,True
2024-01-01 03:32:00,Phishing Attempt,Low,196.143.203.57,Workstation,WKS-FIN-17,user035,Antivirus,Detected,56,87,34,2024-01-01,3,Monday,False,False
2024-01-01 03:47:00,Suspicious Login,Low,73.165.209.165,VPN Gateway,WKS-FIN-10,user047,Antivirus,False Positive,118,52,43,2024-01-01,3,Monday,False,False
2024-01-01 03:52:00,Phishing Attempt,Low,162.49.230.191,Workstation,WKS-FIN-02,user011,IDS/IPS,False Positive,66,36,45,2024-01-01,3,Monday,False,False
2024-01-01 04:10:00,File Integrity Violation,Medium,10.0.17.3,VPN Gateway,WKS-IT-12,user001,IDS/IPS,Blocked,39,91,18,2024-01-01,4,Monday,True,True
2024-01-01 04:30:00,SQL Injection,Critical,206.161.209.93,Database Server,SRV-DB-01,user019,Log Analysis,Mitigated,15,90,108,2024-01-01,4,Monday,False,True
2024-01-01 04:44:00,Privilege Escalation,Critical,144.131.176.6,Workstation,WKS-IT-16,admin,Firewall,Blocked,8,97,162,2024-01-01,4,Monday,False,True
2024-01-01 04:51:00,Suspicious Login,Medium,10.0.16.44,File Server,WKS-FIN-03,user030,EDR,Detected,60,70,3,2024-01-01,4,Monday,True,False
2024-01-01 05:05:00,Phishing Attempt,Low,76.250.97.146,Email Server,WKS-IT-04,user032,SIEM,Blocked,50,70,23,2024-01-01,5,Monday,False,True
2024-01-01 05:08:00,Port Scan,Low,128.217.107.108,DNS Server,WKS-IT-11,user020,Antivirus,Blocked,94,78,4,2024-01-01,5,Monday,False,True
2024-01-01 05:29:00,Port Scan,Low,17.134.113.95,Firewall,SRV-DC-02,user036,Firewall,Blocked,58,74,22,2024-01-01,5,Monday,False,True
2024-01-01 05:39:00,DDoS Attack,High,163.222.166.4,Email Server,SRV-DB-06,user047,SIEM,Blocked,21,91,166,2024-01-01,5,Monday,False,True
2024-01-01 05:40:00,Port Scan,Low,2.192.105.177,Firewall,SRV-WEB-16,user037,Antivirus,False Positive,84,39,39,2024-01-01,5,Monday,False,False
2024-01-01 05:44:00,Suspicious Login,Low,60.3.191.49,Workstation,SRV-DC-09,user014,Network Monitor,Detected,47,88,35,2024-01-01,5,Monday,False,False
2024-01-01 06:03:00,Port Scan,Low,99.67.55.5,Email Server,SRV-MAIL-20,user045,Network Monitor,Detected,97,99,9,2024-01-01,6,Monday,False,False
2024-01-01 06:09:00,DDoS Attack,High,57.36.6.239,Email Server,WKS-IT-12,user037,Antivirus,Blocked,15,72,152,2024-01-01,6,Monday,False,True
2024-01-01 06:26:00,Port Scan,Low,10.0.12.125,Email Server,SRV-MAIL-21,sysadmin,Antivirus,Detected,33,94,21,2024-01-01,6,Monday,True,False
2024-01-01 06:26:00,Phishing Attempt,Medium,102.52.48.17,Email Server,WKS-IT-08,user048,Log Analysis,False Positive,55,59,48,2024-01-01,6,Monday,False,False
2024-01-01 06:40:00,XSS Attack,High,141.26.82.100,File Server,SRV-DC-07,user009,Antivirus,Blocked,5,94,166,2024-01-01,6,Monday,False,True
2024-01-01 06:57:00,Port Scan,Low,9.118.86.173,File Server,WKS-HR-09,user015,Antivirus,Blocked,117,70,23,2024-01-01,6,Monday,False,True
2024-01-01 06:58:00,Malware Detection,High,202.255.190.119,Workstation,WKS-FIN-10,dbadmin,EDR,Quarantined,20,92,176,2024-01-01,6,Monday,False,True
2024-01-01 07:05:00,Suspicious Login,Low,10.0.16.223,Firewall,WKS-FIN-02,user031,Antivirus,Blocked,50,76,15,2024-01-01,7,Monday,True,True
2024-01-01 07:13:00,Phishing Attempt,Low,191.40.107.43,Workstation,WKS-FIN-02,user027,Antivirus,Blocked,115,76,49,2024-01-01,7,Monday,False,True
2024-01-01 07:23:00,Port Scan,Medium,10.0.6.145,Email Server,SRV-MAIL-29,user040,SIEM,False Positive,59,40,30,2024-01-01,7,Monday,True,False
2024-01-01 07:27:00,Unauthorized Access,High,122.239.139.141,Firewall,WKS-OPS-20,user003,EDR,Blocked,28,96,107,2024-01-01,7,Monday,False,True
2024-01-01 07:51:00,Port Scan,Low,192.97.255.189,Firewall,WKS-FIN-10,user048,EDR,False Positive,106,47,34,2024-01-01,7,Monday,False,False
2024-01-01 08:00:00,Malware Detection,High,125.119.162.252,Workstation,WKS-IT-08,user030,Log Analysis,Quarantined,6,98,72,2024-01-01,8,Monday,False,True
2024-01-01 08:01:00,DDoS Attack,High,185.32.198.49,Web Server,WKS-FIN-06,user025,EDR,Blocked,29,90,22,2024-01-01,8,Monday,False,True
2024-01-01 08:23:00,Port Scan,Medium,114.193.247.198,VPN Gateway,SRV-DC-26,user020,Log Analysis,Blocked,33,84,11,2024-01-01,8,Monday,False,True
